Bin	ContigName
MEGAHIT-MaxBin2-ERR2143759.001.tsv	GIFAEIHF
MEGAHIT-MaxBin2-ERR2143759.002.tsv	CIJAKMNO
MEGAHIT-MaxBin2-ERR2143759.003.tsv	IACMDEGO
MEGAHIT-MaxBin2-ERR2143759.004.tsv	FKGEEGMK
MEGAHIT-MaxBin2-ERR2143759.005.tsv	NBLBKFGP
MEGAHIT-MaxBin2-ERR2143760.001.tsv	CDMCPOJD
MEGAHIT-MaxBin2-ERR2143760.002.tsv	PJEJNNEC
MEGAHIT-MaxBin2-ERR2143760.003.tsv	ELBPOCGG
MEGAHIT-MaxBin2-ERR2143760.004.tsv	LPDNOCIE
MEGAHIT-MaxBin2-ERR2143771.001.tsv	KEBGIGOI
MEGAHIT-MaxBin2-ERR2143771.002.tsv	GNGAKHBD
MEGAHIT-MaxBin2-ERR2143772.001.tsv	NGILDPFJ
MEGAHIT-MaxBin2-ERR2143772.002.tsv	BNBNNLFK
MEGAHIT-MaxBin2-ERR2143773.001.tsv	OLADMAGF
MEGAHIT-MaxBin2-ERR2143773.002.tsv	EPNPGCJF
MEGAHIT-MaxBin2-ERR2143773.003.tsv	OGHEFGBH
MEGAHIT-MetaBAT2-ERR2143759.1.tsv	EOMIBOKB
MEGAHIT-MetaBAT2-ERR2143759.2.tsv	IMFCMJNE
MEGAHIT-MetaBAT2-ERR2143759.3.tsv	JPIOBONM
MEGAHIT-MetaBAT2-ERR2143759.4.tsv	IIKMGHIJ
MEGAHIT-MetaBAT2-ERR2143759.5.tsv	FJMNHDHH
MEGAHIT-MetaBAT2-ERR2143759.6.tsv	HNFOOLAK
MEGAHIT-MetaBAT2-ERR2143759.7.tsv	KKNACEHJ
MEGAHIT-MetaBAT2-ERR2143760.1.tsv	JMOHPCEH
MEGAHIT-MetaBAT2-ERR2143760.2.tsv	JNLKELBO
MEGAHIT-MetaBAT2-ERR2143760.3.tsv	BPOICHMO
MEGAHIT-MetaBAT2-ERR2143760.4.tsv	OJEIIDGO
MEGAHIT-MetaBAT2-ERR2143760.5.tsv	OINBHHLA
MEGAHIT-MetaBAT2-ERR2143771.1.tsv	EONPCBDF
MEGAHIT-MetaBAT2-ERR2143771.2.tsv	OJCBHCCG
MEGAHIT-MetaBAT2-ERR2143771.3.tsv	JADMGMAL
MEGAHIT-MetaBAT2-ERR2143771.4.tsv	KKGCJLIG
MEGAHIT-MetaBAT2-ERR2143772.1.tsv	KHPHFBJJ
MEGAHIT-MetaBAT2-ERR2143772.2.tsv	NECFOIJH
MEGAHIT-MetaBAT2-ERR2143772.3.tsv	KDCCMDHF
MEGAHIT-MetaBAT2-ERR2143772.4.tsv	FDKDGLCP
MEGAHIT-MetaBAT2-ERR2143773.1.tsv	IJLNKNIL
MEGAHIT-MetaBAT2-ERR2143773.2.tsv	MACHMHHK
MEGAHIT-MetaBAT2-ERR2143773.3.tsv	IGFKCGOH
MEGAHIT-MetaBAT2-ERR2143773.4.tsv	LLMAHDOM
